time,v1,v2,v3
0.0,0.366,-0.732,0.366
0.0667714579612948,0.363,-0.726,0.363
0.1028984579606913,0.277,-0.553,0.277
0.16682374995434657,0.355,-0.71,0.355
0.23283941694535315,0.352,-0.705,0.352
0.25860316696343943,0.35,-0.701,0.35
0.3158444579457864,0.349,-0.698,0.349
0.36694920796435326,0.348,-0.697,0.348
0.43357633298728615,0.349,-0.698,0.349
0.5002699999604374,0.35,-0.699,0.35
0.5361517919809557,0.35,-0.7,0.35
0.599593416962307,0.351,-0.703,0.351
0.6587698749499395,0.352,-0.704,0.352
0.6941106249578297,0.353,-0.706,0.353
0.757869666966144,0.326,-0.651,0.326
0.816530457988847,0.347,-0.694,0.347
0.8516838749637827,0.351,-0.703,0.351
0.9160657079773955,0.351,-0.702,0.351
0.9661383329657838,0.349,-0.699,0.349
1.0256557919783518,0.348,-0.696,0.348
1.0907849169452675,0.346,-0.693,0.346
1.1408379579661414,0.344,-0.688,0.344
1.1999267499777488,0.339,-0.679,0.339
1.2355951249483041,0.335,-0.671,0.335
1.3000895419972949,0.33,-0.659,0.33
1.3353024579701014,0.324,-0.648,0.324
1.3992564169457182,0.317,-0.633,0.317
1.4499035829794593,0.1,-0.15,0.1
1.51647954195505,0.1,-0.117,0.1
1.5839614579454064,0.281,-0.562,0.281
1.61958112497814,0.27,-0.54,0.27
1.6825680829933845,0.259,-0.518,0.259
1.7329957079491578,0.248,-0.495,0.248
1.7908256669761613,0.236,-0.471,0.236
1.8467719999607652,0.221,-0.443,0.221
1.882930999970995,0.207,-0.415,0.207
1.941627874970436,0.194,-0.388,0.194
2.007613166992087,0.183,-0.366,0.183
2.0574160419637337,0.171,-0.341,0.171
2.1078808329766616,-0.258,0.516,-0.258
2.1663739579962566,0.122,-0.245,0.122
2.201683916966431,0.103,-0.207,0.103
2.2669012919650413,0.1,-0.172,0.1
2.334244499972556,0.1,-0.134,0.1
2.3702759579755366,0.1,-0.1,0.1
2.4327589579625055,0.1,-0.1,0.1
2.492403291980736,0.1,-0.1,0.1
2.5300560419564135,-0.1,0.1,-0.1
2.5909985829493962,-0.1,0.1,-0.1
2.648265999974683,-0.1,0.115,-0.1
2.7180114169605076,-0.544,1.089,-0.544
2.753428249969147,-0.477,0.954,-0.477
2.816445832955651,-0.124,0.248,-0.124
2.8523074580007233,-0.135,0.27,-0.135
2.915625707944855,-0.144,0.288,-0.144
2.9659802919486538,-0.152,0.304,-0.152
3.0250269579701126,-0.159,0.319,-0.159
3.0912394169718027,-0.164,0.327,-0.164
3.141545791993849,-0.166,0.331,-0.166
3.176947707950603,-0.167,0.334,-0.167
3.241203166951891,-0.17,0.339,-0.17
3.29172162496252,-0.172,0.344,-0.172
3.3583784999791533,-0.175,0.35,-0.175
3.3936966249602847,-0.194,0.387,-0.194
3.4578205829602666,-0.187,0.374,-0.187
3.5173805419472046,-0.231,0.461,-0.231
3.5532432919717394,-0.186,0.372,-0.186
3.615881207981147,-0.188,0.377,-0.188
3.6661472079576924,-0.191,0.382,-0.191
3.7254781249794178,-0.194,0.387,-0.194
3.791141291963868,-0.194,0.388,-0.194
